fecha_deteccion;fecha_timeout;operador;proceso;codigo;descripcion;rango_consulta;time_taken_ms;status;status_code
2026-05-11 15:22:08;2026-05-09 12:45:49;CLARO;Activación Servicios;TIMEOUT_43648ms;Respuesta lenta: 43,648 ms (>30s);Importación histórica;43648;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-09 12:45:48;CLARO;Activación Servicios;TIMEOUT_43380ms;Respuesta lenta: 43,380 ms (>30s);Importación histórica;43380;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-09 11:26:40;CLARO;Cambio ONT;TIMEOUT_37181ms;Respuesta lenta: 37,181 ms (>30s);Importación histórica;37181;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-09 11:26:40;CLARO;Cambio ONT;TIMEOUT_37693ms;Respuesta lenta: 37,693 ms (>30s);Importación histórica;37693;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-09 10:51:21;CLARO;Activación Servicios;TIMEOUT_31231ms;Respuesta lenta: 31,231 ms (>30s);Importación histórica;31231;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-09 10:46:07;CLARO;Cambio ONT;TIMEOUT_42322ms;Respuesta lenta: 42,322 ms (>30s);Importación histórica;42322;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-09 10:46:07;CLARO;Cambio ONT;TIMEOUT_42854ms;Respuesta lenta: 42,854 ms (>30s);Importación histórica;42854;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-09 10:17:20;CLARO;Estado servicio;TIMEOUT_30569ms;Respuesta lenta: 30,569 ms (>30s);Importación histórica;30569;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-09 08:46:05;CLARO;Activación Servicios;TIMEOUT_38876ms;Respuesta lenta: 38,876 ms (>30s);Importación histórica;38876;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-09 08:32:49;CLARO;Activación Servicios;TIMEOUT_36188ms;Respuesta lenta: 36,188 ms (>30s);Importación histórica;36188;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-09 08:32:49;CLARO;Activación Servicios;TIMEOUT_37031ms;Respuesta lenta: 37,031 ms (>30s);Importación histórica;37031;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-09 08:32:06;CLARO;Activación Servicios;TIMEOUT_42946ms;Respuesta lenta: 42,946 ms (>30s);Importación histórica;42946;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-09 07:52:42;CLARO;Activación Servicios;TIMEOUT_36136ms;Respuesta lenta: 36,136 ms (>30s);Importación histórica;36136;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-09 07:52:42;CLARO;Activación Servicios;TIMEOUT_35913ms;Respuesta lenta: 35,913 ms (>30s);Importación histórica;35913;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-08 16:04:53;CLARO;Activación Servicios;TIMEOUT_40623ms;Respuesta lenta: 40,623 ms (>30s);Importación histórica;40623;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-08 16:04:41;CLARO;Activación Servicios;TIMEOUT_30556ms;Respuesta lenta: 30,556 ms (>30s);Importación histórica;30556;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-08 12:46:21;CLARO;Activación Servicios;TIMEOUT_32948ms;Respuesta lenta: 32,948 ms (>30s);Importación histórica;32948;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-08 12:04:11;CLARO;Activación Servicios;TIMEOUT_30901ms;Respuesta lenta: 30,901 ms (>30s);Importación histórica;30901;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-08 11:42:37;CLARO;Activación Servicios;TIMEOUT_30417ms;Respuesta lenta: 30,417 ms (>30s);Importación histórica;30417;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-08 10:21:47;CLARO;Cambio ONT;TIMEOUT_30458ms;Respuesta lenta: 30,458 ms (>30s);Importación histórica;30458;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-08 10:21:46;CLARO;Cambio ONT;TIMEOUT_31009ms;Respuesta lenta: 31,009 ms (>30s);Importación histórica;31009;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-08 10:14:21;CLARO;Activación Servicios;TIMEOUT_44015ms;Respuesta lenta: 44,015 ms (>30s);Importación histórica;44015;SUCCESS;200.0
2026-05-11 15:22:08;2026-05-08 10:14:20;CLARO;Activación Servicios;TIMEOUT_43933ms;Respuesta lenta: 43,933 ms (>30s);Importación histórica;43933;SUCCESS;200.0
2026-05-08 09:17:28;2026-05-08 08:50:53;CLARO;Activación Servicios;TIMEOUT_38266ms;Timeout: 38,266ms;today;38266;;
2026-05-08 09:17:28;2026-05-08 08:50:53;CLARO;Activación Servicios;TIMEOUT_34158ms;Timeout: 34,158ms;today;34158;;
2026-05-07 16:47:11;2026-05-07 16:20:12;CLARO;Cambio ONT;TIMEOUT_30510ms;Timeout: 30,510ms;today;30510;;
2026-05-07 16:47:11;2026-05-07 16:20:12;CLARO;Cambio ONT;TIMEOUT_31086ms;Timeout: 31,086ms;today;31086;;
